date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:05	3863/3863	---M--	200	added ('OK')	text/css	etag:%22f17-5f5589f887280%22	https://rkwaterproofingcom.in/assets/vendors/bxslider/jquery.bxslider.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/bxslider/jquery.bxslider.css	(from https://rkwaterproofingcom.in/index.php)
20:12:05	11827/11827	---M--	200	added ('OK')	text/css	etag:%222e33-5f5589f887280%22	https://rkwaterproofingcom.in/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	(from https://rkwaterproofingcom.in/index.php)
20:12:05	9461/9461	---M--	200	added ('OK')	text/css	etag:%2224f5-5f5589f887280%22	https://rkwaterproofingcom.in/assets/vendors/vegas/vegas.min.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/vegas/vegas.min.css	(from https://rkwaterproofingcom.in/index.php)
20:12:05	33549/33549	---M--	200	added ('OK')	text/css	etag:%22830d-5f5589f887280%22	https://rkwaterproofingcom.in/assets/vendors/jquery-ui/jquery-ui.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-ui/jquery-ui.css	(from https://rkwaterproofingcom.in/index.php)
20:12:06	3852/3852	---M--	200	added ('OK')	text/css	etag:%22f0c-5f5589fa6f700%22	https://rkwaterproofingcom.in/assets/vendors/timepicker/timePicker.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/timepicker/timePicker.css	(from https://rkwaterproofingcom.in/index.php)
20:12:06	318/318	---M--	200	added ('OK')	text/css	etag:%2213e-5f5589fa6f700%22	https://rkwaterproofingcom.in/assets/vendors/free-hand-font/stylesheet.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/free-hand-font/stylesheet.css	(from https://rkwaterproofingcom.in/index.php)
20:12:06	257963/257963	---M--	200	added ('OK')	text/css	etag:%223efab-5f68a3237f100%22	https://rkwaterproofingcom.in/assets/css/endreox.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/css/endreox.css	(from https://rkwaterproofingcom.in/index.php)
20:12:07	28980/28980	---M--	200	added ('OK')	text/css	etag:%227134-5f5a91c9eca80%22	https://rkwaterproofingcom.in/assets/css/endreox-responsive.css	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/css/endreox-responsive.css	(from https://rkwaterproofingcom.in/index.php)
20:12:07	27409/27409	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:07%20GMT	https://rkwaterproofingcom.in/enquiry.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/enquiry.html	(from https://rkwaterproofingcom.in/index.php)
20:12:07	34752/34752	---M--	200	added ('OK')	image/png	etag:%2287c0-5f55bbc356c00%22	https://rkwaterproofingcom.in/assets/images/resources/logo-2.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/logo-2.png	(from https://rkwaterproofingcom.in/index.php)
